epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,419.576,0.44255,0.41133,1.15521,0.89282,0,0.00858,1,0.32594,0.15529,0.00858,1,0.31679,0.18208,1.14581,1.89747,3.92414,1.63246,0,0.000205844,0.000205844,0.000205844
31,432.888,0.51144,0.61908,1.16969,0.88125,0,0.00863,1,0.4582,0.22159,0.00863,1,0.45354,0.30402,0.98236,1.83384,3.80825,1.45644,0,0.000203041,0.000203041,0.000203041
32,452.14,0.38254,1.00257,1.53592,0.84202,0,0.00863,1,0.4582,0.22159,0.00863,1,0.45354,0.30402,0.98236,1.83384,3.80825,1.45644,0,0.000199577,0.000199577,0.000199577
33,468.298,0.48398,0.46672,1.12308,0.91425,0,0.00648,0.75,0.49042,0.27219,0.00756,0.875,0.49068,0.3771,0.91841,1.81492,3.71318,1.37619,0,0.000195452,0.000195452,0.000195452
34,482.589,0.38023,0.33817,1.26087,0.8692,0,0.00648,0.75,0.49042,0.27219,0.00756,0.875,0.49068,0.3771,0.91841,1.81492,3.71318,1.37619,0,0.000190668,0.000190668,0.000190668
35,497.899,0.4267,0.4857,1.31206,0.90344,0,0.00771,0.875,0.45583,0.23861,0.00771,0.875,0.4529,0.35112,0.98389,1.71731,3.70037,1.38268,0,0.000185224,0.000185224,0.000185224
36,524.034,0.44223,0.39127,1.18257,0.87033,0,0.00771,0.875,0.45583,0.23861,0.00771,0.875,0.4529,0.35112,0.98389,1.71731,3.70037,1.38268,0,0.000179119,0.000179119,0.000179119
37,549.597,0.42879,0.45424,1.24611,0.89406,0,0.00773,0.875,0.45384,0.25129,0.00773,0.875,0.45266,0.35342,0.98495,1.63001,3.75001,1.38302,0,0.000172354,0.000172354,0.000172354
38,567.445,0.43402,0.34885,1.22347,0.88062,0,0.00773,0.875,0.45384,0.25129,0.00773,0.875,0.45266,0.35342,0.98495,1.63001,3.75001,1.38302,0,0.00016493,0.00016493,0.00016493
39,582.127,0.44654,0.35038,1.36877,0.92222,0,0.00775,0.875,0.45458,0.20992,0.00775,0.875,0.45397,0.3132,0.99571,1.54836,3.75186,1.37401,0,0.000156845,0.000156845,0.000156845
40,596.154,0.45386,0.44245,1.20328,0.93186,0,0.00775,0.875,0.45458,0.20992,0.00775,0.875,0.45397,0.3132,0.99571,1.54836,3.75186,1.37401,0,0.0001481,0.0001481,0.0001481
41,614.028,0.45179,0.53923,2.05357,0.93104,0,0.00776,0.875,0.4649,0.21396,0.00776,0.875,0.46456,0.31917,0.95011,1.51029,3.73792,1.3556,0,0.000138694,0.000138694,0.000138694
42,630.936,0.39127,0.36709,1.93883,0.92015,0,0.00776,0.875,0.4649,0.21396,0.00776,0.875,0.46456,0.31917,0.95011,1.51029,3.73792,1.3556,0,0.000128629,0.000128629,0.000128629
43,655.359,0.47935,0.33955,1.93975,0.95106,0,0.00766,0.875,0.46897,0.23176,0.00766,0.875,0.46852,0.32277,0.91595,1.54899,3.75471,1.38808,0,0.000117904,0.000117904,0.000117904
44,677.365,0.35367,0.28868,1.79699,0.89627,0,0.00766,0.875,0.46897,0.23176,0.00766,0.875,0.46852,0.32277,0.91595,1.54899,3.75471,1.38808,0,0.000106518,0.000106518,0.000106518
45,693.528,0.41237,0.31823,1.84037,0.89205,0,0.00751,0.875,0.43708,0.22656,0.00751,0.875,0.43676,0.31246,0.92802,1.48296,3.73952,1.45686,0,9.44722e-05,9.44722e-05,9.44722e-05
46,708.748,0.35397,0.33319,1.70376,0.828,0,0.00751,0.875,0.43708,0.22656,0.00751,0.875,0.43676,0.31246,0.92802,1.48296,3.73952,1.45686,0,8.17663e-05,8.17663e-05,8.17663e-05
47,733.452,0.32416,0.34872,1.79611,0.71325,0,0.00738,0.875,0.42385,0.23735,0.00738,0.875,0.43718,0.32654,0.90137,1.43253,3.72244,1.45025,0,6.84003e-05,6.84003e-05,6.84003e-05
48,752.46,0.39625,0.34203,1.93614,0.87772,0,0.00738,0.875,0.42385,0.23735,0.00738,0.875,0.43718,0.32654,0.90137,1.43253,3.72244,1.45025,0,5.43742e-05,5.43742e-05,5.43742e-05
49,769.583,0.33773,0.2363,1.79079,0.86731,0,0.00734,0.875,0.46907,0.24663,0.00734,0.875,0.46844,0.34498,0.86942,1.36701,3.6971,1.44794,0,3.96879e-05,3.96879e-05,3.96879e-05
50,784.733,0.42389,0.34946,1.84915,0.84373,0,0.00734,0.875,0.46907,0.24663,0.00734,0.875,0.46844,0.34498,0.86942,1.36701,3.6971,1.44794,0,2.43415e-05,2.43415e-05,2.43415e-05
